InvoiceLineId,InvoiceId,TrackId,UnitPrice,Quantity,CustomerId,PurchaseDate,BillingCountry,Total,FirstName,LastName,Country,SupportRepId,TrackName,AlbumId,GenreId,MediaTypeId,Milliseconds,TrackUnitPrice,AlbumTitle,ArtistId,ArtistName,GenreName,MediaTypeName,LineRevenue
1,1,2,0.99,1,2,2009-01-01,Germany,1.98,Leonie,Köhler,Germany,5,Balls to the Wall,2,1,2,342562,0.99,Balls to the Wall,2,Accept,Rock,Protected AAC audio file,0.99
2,1,4,0.99,1,2,2009-01-01,Germany,1.98,Leonie,Köhler,Germany,5,Restless and Wild,3,1,2,252051,0.99,Restless and Wild,2,Accept,Rock,Protected AAC audio file,0.99
3,2,6,0.99,1,4,2009-01-02,Norway,3.96,Bjørn,Hansen,Norway,4,Put The Finger On You,1,1,1,205662,0.99,For Those About To Rock We Salute You,1,AC/DC,Rock,MPEG audio file,0.99
4,2,8,0.99,1,4,2009-01-02,Norway,3.96,Bjørn,Hansen,Norway,4,Inject The Venom,1,1,1,210834,0.99,For Those About To Rock We Salute You,1,AC/DC,Rock,MPEG audio file,0.99
5,2,10,0.99,1,4,2009-01-02,Norway,3.96,Bjørn,Hansen,Norway,4,Evil Walks,1,1,1,263497,0.99,For Those About To Rock We Salute You,1,AC/DC,Rock,MPEG audio file,0.99
6,2,12,0.99,1,4,2009-01-02,Norway,3.96,Bjørn,Hansen,Norway,4,Breaking The Rules,1,1,1,263288,0.99,For Those About To Rock We Salute You,1,AC/DC,Rock,MPEG audio file,0.99
7,3,16,0.99,1,8,2009-01-03,Belgium,5.94,Daan,Peeters,Belgium,4,Dog Eat Dog,4,1,1,215196,0.99,Let There Be Rock,1,AC/DC,Rock,MPEG audio file,0.99
8,3,20,0.99,1,8,2009-01-03,Belgium,5.94,Daan,Peeters,Belgium,4,Overdose,4,1,1,369319,0.99,Let There Be Rock,1,AC/DC,Rock,MPEG audio file,0.99
9,3,24,0.99,1,8,2009-01-03,Belgium,5.94,Daan,Peeters,Belgium,4,Love In An Elevator,5,1,1,321828,0.99,Big Ones,3,Aerosmith,Rock,MPEG audio file,0.99
10,3,28,0.99,1,8,2009-01-03,Belgium,5.94,Daan,Peeters,Belgium,4,Janie's Got A Gun,5,1,1,330736,0.99,Big Ones,3,Aerosmith,Rock,MPEG audio file,0.99
11,3,32,0.99,1,8,2009-01-03,Belgium,5.94,Daan,Peeters,Belgium,4,Deuces Are Wild,5,1,1,215875,0.99,Big Ones,3,Aerosmith,Rock,MPEG audio file,0.99
12,3,36,0.99,1,8,2009-01-03,Belgium,5.94,Daan,Peeters,Belgium,4,Angel,5,1,1,307617,0.99,Big Ones,3,Aerosmith,Rock,MPEG audio file,0.99
13,4,42,0.99,1,14,2009-01-06,Canada,8.91,Mark,Philips,Canada,5,Right Through You,6,1,1,176117,0.99,Jagged Little Pill,4,Alanis Morissette,Rock,MPEG audio file,0.99
